id:ID	:LABEL	label
GO:0005766	CellularComponent	primary lysosome
GO:0005798	CellularComponent	Golgi-associated vesicle
GO:0005742	CellularComponent	mitochondrial outer membrane translocase complex
GO:0005765	CellularComponent	lysosomal membrane
GO:0097546	CellularComponent	ciliary base
GO:1902554	CellularComponent	serine/threonine protein kinase complex
GO:0046930	CellularComponent	pore complex
GO:0042627	CellularComponent	chylomicron
GO:0030894	CellularComponent	replisome
GO:0031970	CellularComponent	organelle envelope lumen
GO:0031903	CellularComponent	microbody membrane
GO:0033646	CellularComponent	host intracellular part
GO:0032838	CellularComponent	plasma membrane bounded cell projection cytoplasm
GO:0030133	CellularComponent	transport vesicle
GO:0060205	CellularComponent	cytoplasmic vesicle lumen
GO:0030659	CellularComponent	cytoplasmic vesicle membrane
GO:0071556	CellularComponent	integral component of lumenal side of endoplasmic reticulum membrane
GO:0099512	CellularComponent	supramolecular fiber
GO:0098796	CellularComponent	membrane protein complex
GO:0035577	CellularComponent	azurophil granule membrane
GO:0097487	CellularComponent	multivesicular body, internal vesicle
GO:0030529	CellularComponent	intracellular ribonucleoprotein complex
GO:0012507	CellularComponent	ER to Golgi transport vesicle membrane
GO:0030662	CellularComponent	coated vesicle membrane
GO:0005771	CellularComponent	multivesicular body
GO:0005815	CellularComponent	microtubule organizing center
GO:0005884	CellularComponent	actin filament
GO:0005971	CellularComponent	ribonucleoside-diphosphate reductase complex
GO:0016035	CellularComponent	zeta DNA polymerase complex
GO:0005743	CellularComponent	mitochondrial inner membrane
GO:0036387	CellularComponent	pre-replicative complex
GO:0032302	CellularComponent	MutSbeta complex
GO:0044164	CellularComponent	host cell cytosol
GO:0044167	CellularComponent	host cell endoplasmic reticulum membrane
GO:0044166	CellularComponent	host cell endoplasmic reticulum lumen
GO:0061200	CellularComponent	clathrin-sculpted gamma-aminobutyric acid transport vesicle
GO:0005575	CellularComponent	cellular_component
GO:0042579	CellularComponent	microbody
GO:0005887	CellularComponent	integral component of plasma membrane
GO:0030135	CellularComponent	coated vesicle
GO:0005791	CellularComponent	rough endoplasmic reticulum
GO:0036064	CellularComponent	ciliary basal body
GO:0031096	CellularComponent	platelet dense tubular network lumen
GO:0043234	CellularComponent	protein complex
GO:0036126	CellularComponent	sperm flagellum
GO:0031982	CellularComponent	vesicle
GO:0031983	CellularComponent	vesicle lumen
GO:0031906	CellularComponent	late endosome lumen
GO:0030670	CellularComponent	phagocytic vesicle membrane
GO:0032993	CellularComponent	protein-DNA complex
GO:0044437	CellularComponent	vacuolar part
GO:0055036	CellularComponent	virion membrane
GO:0033202	CellularComponent	DNA helicase complex
GO:0044190	CellularComponent	host cell mitochondrial envelope
GO:0099513	CellularComponent	polymeric cytoskeletal fiber
GO:0071256	CellularComponent	translocon complex
GO:0005694	CellularComponent	chromosome
GO:0009898	CellularComponent	cytoplasmic side of plasma membrane
GO:0071944	CellularComponent	cell periphery
